Company Name,Industry,Address,City,State,ZIP,Contact First Name,Contact Middle Initial,Contact Last Name,Phone,Birthdate,Email,Account Code,National ID,Creation Date,Modify Date,Demo Reference
Red Mesa Remodeling Inc,Remodeling & Repairing Bldg Contractors,2213 W Harwell Rd,pHOENIX,Arizona,85041-7730,Dana,B,Normand,(389) 793-9146,18/10/1979,dnormand@redmesaremodelinginc.com,<9146-7730/Nor>,405-32-6522,03/16/05,07/06/06,
Ace Hardware,"Floor covering stores, nec",222 E 3rd Ave,mOSES LAKE,WA,98837-1773,Eric,D,Skaug,(883) 196-4209,12/04/1966,eskaug@acehardware.com,<4209-1773/Ska>,355-17-4753,11/25/98,03/16/00,
Ingram-Eve Inc,Investment Securities,225 Broadway,sAN DIEGO,CA,92101-5005,Kurt,W,Eve,(902) 920-1229,13/02/1958,keve@ingram-eveinc.com,<1229-5005/Eve>,479-96-9797,10/14/07,02/02/09,
Casa Ybel Sales,Real estate agents and managers,2255 W Gulf Dr,sANIBEL,FL,33957-6104,John,S,Ayres,(108) 625-1149,25/11/1957,jayres@casaybelsales.com,<1149-6104/Ayr>,538-34-4728,06/24/01,10/14/02,
S J Electric Inc,Electrical contractor,228 Merrick Rd,lYNBROOK,NY,11563-2622,Paul,J,Curtis,(169) 598-6700,05/02/1973,pcurtis@sjelectricinc.com,<6700-2622/Cur>,305-17-0852,03/05/95,09/02/11,
United Title Services Inc,Title abstract offices,229 E Saint George Blvd # 200,sT GEORGE,Utah,84770-7901,Doug,Y,Stanley,(981) 346-1948,02/02/1960,dstanley@unitedtitleservicesinc.com,<1948-7901/Sta>,519-84-6265,01/22/04,05/13/05,
J&J Electric,Electrical contractor,229 Gladden Ln W,aLEXANDRIA,AL,36250-5157,John,D,Payne,(198) 497-4213,16/04/1966,jpayne@j&jelectric.com,<4213-5157/Pay>,781-31-8664,10/02/97,01/22/99,
Arbys,Ice Cream Parlors,2300 Santa Clara Dr,sANTA CLARA,Utah,84765-5454,Nick,S,Frie,(115) 143-2308,27/01/1961,nfrie@arbys.com,<2308-5454/Fri>,89-81-3155,08/21/06,12/11/07,
Gn Construction,Single-family homes contractor,23019 Pocket Rd,bATESVILLE,IN,47006-9509,Gary,E,Najmon,(774) 382-0081,23/12/1954,gnajmon@gnconstruction.com,<0081-9509/Naj>,314-35-8073,05/01/00,08/21/01,
National Memorial Cemetery AZ,Cemetery subdividers and developers,23029 N Cave Creek Rd,pHOENIX,Arizona,85024-7500,Mark,,Maynard,(542) 060-5288,26/03/1969,mmaynard@nationalmemorialcemeteryaz.com,<5288-7500/May>,704-52-7527,03/20/09,07/10/10,
Solar Control Glass Tinting,Glass Coating & Tinting,2305 N Vfw Rd,gARDEN CITY,KS,67846-7063,Thea,,Osborne,(399) 325-8223,08/04/1977,tosborne@solarcontrolglasstinting.com,<8223-7063/Osb>,119-28-5374,11/29/02,03/20/04,
Accusearch Inc,Employment Screening Services,2338 W Royal Palm Rd # J,pHOENIX,Arizona,85021-9339,Mark,A,Shook,(680) 559-3291,07/10/1963,mshook@accusearchinc.com,<3291-9339/Sho>,708-29-2234,08/09/96,11/29/97,
Surface Technology Corp,Counter Tops,23910 N 19th Ave # 30,pHOENIX,Arizona,85085-1849,Paul,B,Cagle,(971) 760-7522,08/05/1975,pcagle@surfacetechnologycorp.com,<7522-1849/Cag>,44-61-7478,06/28/05,10/18/06,
Fantasy Nails,Skin Treatments,2403 W Algonquin Rd,aLGONQUIN,IL,,Phuc,D,Pham,(922) 551-1336,31/05/1958,ppham@fantasynails.com,<1336-/Pha>,911-64-9984,03/09/99,06/28/00,
Minersville Senior Citizens,Senior Citizens Service,245 S Main,mINERSVILLE,Utah,,Dana,W,O'Cull,(799) 895-6742,19/03/1973,do'cull@minersvilleseniorcitizens.com,<6742-/O'C>,498-31-9470,01/26/08,05/17/09,
Radisson Hotel Waikiki,Apartment building operators,2500 Kuhio Ave,hONOLULU,HI,,Gary,S,Jutz,(802) 393-0126,06/02/1955,gjutz@radissonhotelwaikiki.com,<0126-/Jut>,401-92-4630,10/06/01,01/26/03,
Applebee's Neighborhood Grill,Restaurants,2501 W Happy Valley Rd,pHOENIX,Arizona,,Jody,J,Padilla,(520) 483-0842,22/01/1957,jpadilla@applebee'sneighborhoodgrill.com,<0842-/Pad>,171-55-2207,06/17/95,12/15/11,
Johns Auto Repair,General automotive repair service,252 E 3rd St,mOUNT VERNON,NY,,John,Y,Zerafa,(145) 561-9861,02/10/1981,jzerafa@johnsautorepair.com,<9861-/Zer>,143-94-0538,05/05/04,08/25/05,
Ordinary Wood Inc,Retailer of alcoholic beverage,2522 Santa Fe Dr,pUEBLO,Colorado,,Race,D,Raio,(114) 795-3126,25/04/1963,rraio@ordinarywoodinc.com,<3126-/Rai>,923-41-1184,01/14/98,05/06/99,
Rim Rock Inn,Hotels & Motels,2523 E Highway 24,tORREY,Utah,,Thys,S,Winkel,(147) 707-2598,13/11/1961,twinkel@rimrockinn.com,<2598-/Win>,179-84-2466,12/03/06,03/24/08,
Swaney Auto Svc,Automobile Repairing & Service,2531 Georgetown Rd,dANVILLE,IL,,John,E,Swaney,(817) 741-1928,13/01/1960,jswaney@swaneyautosvc.com,<1928-/Swa>,313-91-1171,08/13/00,12/03/01,
Rinker Inc,Concrete-Ready Mixed,26 Kiji Dava Cir,pRESCOTT,Arizona,,Kent,,Krumm,(719) 790-5192,20/12/1968,kkrumm@rinkerinc.com,<5192-/Kru>,404-45-7442,07/02/09,10/22/10,
Anacapa Surf & Sport,Retailer of sporting goods,260 S Surfside Dr,pORT HUENEME,CA,,Ryan,,Imrie,(891) 412-1923,08/01/1960,rimrie@anacapasurf&sport.com,<1923-/Imr>,400-15-7118,03/13/03,07/02/04,
Specialty Products & Tech,Cane sugar refiner,2615 Yh Hanson Ave,aLBERT LEA,MN,,Gary,A,Rask,(314) 900-0120,31/01/1955,grask@specialtyproducts&tech.com,<0120-/Ras>,52-28-7525,11/21/96,03/13/98,
GCR Tire Ctr,Tire-Dealers-Retail,2625 Highway 20,tUSCUMBIA,AL,,Stan,B,Zeal,(416) 507-0685,18/08/1956,szeal@gcrtirectr.com,<0685-/Zea>,473-56-8617,10/10/05,01/30/07,
Snow Canyon Family Practice,Physicians & Surgeons,272 E Center St,iVINS,Utah,,Mary,D,Jones,(976) 809-2140,12/08/1960,mjones@snowcanyonfamilypractice.com,<2140-/Jon>,696-63-0569,06/21/99,10/10/00,
Farmers Insurance Group,Insurance,2730 W Agua Fria Fwy # 104,pHOENIX,Arizona,,Rose,W,Vyles,(704) 622-0693,26/08/1956,rvyles@farmersinsurancegroup.com,<0693-/Vyl>,934-83-3941,05/09/08,08/29/09,
AM PM Mini Mart,Convenience Stores,2751 E University Dr,mESA,Arizona,,Andy,S,Patel,(689) 763-3835,03/04/1965,apatel@ampmminimart.com,<3835-/Pat>,30-74-6112,01/18/02,05/10/03,
Van Plycon Lines Inc,Local trucking compnay with storage,280 Indian Head Rd,kINGS PARK,NY,,Dean,J,Pliaconis,(387) 404-1399,02/08/1958,dpliaconis@vanplyconlinesinc.com,<1399-/Pli>,652-62-6538,09/29/95,03/28/12,
Csv Holdings Inc,Investment holding companies,2800 Post Oak Blvd # 5260,hOUSTON,TX,,Greg,Y,Neuman,(305) 506-4367,17/09/1966,gneuman@csvholdingsinc.com,<4367-/Neu>,24-30-6564,08/17/04,12/07/05,
Malvern B Clopton Elementary,Schools,28176 Highway Ww,cLARKSVILLE,MO,,Mark,D,Harvey,(832) 005-9053,17/07/1979,mharvey@malvernbcloptonelementary.com,<9053-/Har>,534-48-1012,04/28/98,08/18/99,
Comcast Spotlight,Pay television services,283 Hilton Dr Ste 3,sT GEORGE,Utah,,Carl,S,Vogel,(740) 926-4268,10/06/1966,cvogel@comcastspotlight.com,<4268-/Vog>,12-81-0025,03/17/07,07/06/08,
Senior Services,Government Offices-State,2860 State St,mEDFORD,OR,97504-8474,Greg,E,Knudson,(312) 548-5846,05/10/1970,gknudson@seniorservices.com,<5846-8474/Knu>,853-44-2345,11/25/00,03/17/02,
Carey Gardens Day Care Center,Child day care service,2964 W 23rd St,bROOKLYN,NY,11224-2202,Mona,,Essman,(267) 226-0107,18/01/1955,messman@careygardensdaycarecenter.com,<0107-2202/Ess>,391-79-9491,10/14/09,02/03/11,
Secra Group Inc,"Electronic parts and equipment, nec",30 W 21st St FL 10,nEW YORK,NY,10010-6956,Shay,,Granov,(727) 829-0285,15/07/1955,sgranov@secragroupinc.com,<0285-6956/Gra>,206-99-3068,06/25/03,10/14/04,
Lane Public Library,County Government-Libraries,300 N 3rd St,hAMILTON, Ohio,45011-1625,Mary,A,Essman,(784) 335-6189,13/09/1971,messman@lanepubliclibrary.com,<6189-1625/Ess>,135-87-9731,03/05/97,06/25/98,
Custom Motorcycles,Motorcycles & Motor Scooters-Painting,300 W 2nd St,lEBANON,MO,65536-2906,Jojo,B,Brackett,(336) 289-8897,11/02/1979,jbrackett@custommotorcycles.com,<8897-2906/Bra>,78-65-9907,01/22/06,05/14/07,
Litin Paper Co Inc,Paper Products (Wholesale),3003 Pacific St,mINNEAPOLIS,MN,55411-1625,Tara,D,Litin,(735) 501-4434,23/11/1966,tlitin@litinpapercoinc.com,<4434-1625/Lit>,803-94-7629,10/03/99,01/22/01,
American Accessories Inc,Marketing Programs & Services,301 E Church Ave,kNOXVILLE,TN,37915-2590,Eric,W,Zeanah,(126) 085-4461,20/12/1966,ezeanah@americanaccessoriesinc.com,<4461-2590/Zea>,961-22-4161,08/21/08,12/11/09,
Woods,Apartments,3010 E Mound Rd,dECATUR,IL,62526-9362,Leah,S,Skundberg,(477) 871-4856,19/01/1968,lskundberg@woods.com,<4856-9362/Sku>,273-90-4021,05/02/02,08/22/03,
Desert Haven Construction Inc,"Single-family housing construction, nec",3022 N 80th St,mESA,Arizona,85207-9704,Neil,J,Lannuier,(380) 367-4385,05/10/1966,nlannuier@deserthavenconstructioninc.com,<4385-9704/Lan>,331-24-4358,01/11/96,07/10/12,
South Phoenix Healthy Start,Government Offices-State,303 E Baseline Rd,pHOENIX,Arizona,85042-6530,Lisa,Y,Derrick,(878) 186-2996,16/12/1962,lderrick@southphoenixhealthystart.com,<2996-6530/Der>,266-17-7175,11/29/04,03/21/06,
Marathon Cheese Corp,Cheese Processors,304 East St,mARATHON,WI,54448-9643,John,D,Skoug,(868) 216-3410,03/02/1964,jskoug@marathoncheesecorp.com,<3410-9643/Sko>,807-10-4230,08/10/98,11/30/99,
Morris Washington MD,Medical doctor's office,306 E 15th St,nEW YORK,NY,10003-4017,Niva,S,Mercado,(436) 471-5647,20/03/1970,nmercado@morriswashingtonmd.com,<5647-4017/Mer>,428-70-0074,06/29/07,10/18/08,
Blanc Antiques,Antiques-Dealers,306 E 61st St Frnt 2,nEW YORK,NY,10021-8752,Lisa,E,Jackson,(412) 936-7938,27/06/1976,ljackson@blancantiques.com,<7938-8752/Jac>,614-52-1135,03/09/01,06/29/02,
Rachel's Hair & Nails,Beauty Salons,3071 N Robert Rd # B,pRESCOTT VALLEY,Arizona,86314-8479,Judy,,Nelson,(289) 266-5558,21/12/1969,jnelson@rachel'shair&nails.com,<5558-8479/Nel>,784-57-3677,01/26/10,05/18/11,
Plum Gate Resort,Hotel & Motel Management,3087 Plum Lake Dr,sAYNER,WI,54560-9630,Paul,,Lofy,(712) 603-2898,09/09/1962,plofy@plumgateresort.com,<2898-9630/Lof>,755-76-9828,10/07/03,01/26/05,
Thams Insurance,Insurance,309 Main St,mAPLETON,IA,51034-1036,Mark,A,Boehm,(352) 854-7482,29/03/1975,mboehm@thamsinsurance.com,<7482-1036/Boe>,602-30-5878,06/17/97,10/07/98,
Little Caesars,Foods-Carry Out,310 W State St,hURRICANE,Utah,84737-1966,Alan,B,Knox,(550) 565-4228,01/05/1966,aknox@littlecaesars.com,<4228-1966/Kno>,932-21-9756,05/06/06,08/26/07,
New Look Barber,Barber shop,3105 W 13th Ave,pINE BLUFF,AR,71603-1307,Ules,D,Thomson,(750) 362-5133,22/10/1968,uthomson@newlookbarber.com,<5133-1307/Tho>,365-96-2153,01/15/00,05/06/01,
Nichols Tillage Tools Inc,Manufacturer of farm machinery/equipment,312 Hereford St,sTERLING,Colorado,80751-8472,John,W,Nichols,(423) 798-9780,13/07/1981,jnichols@nicholstillagetoolsinc.com,<9780-8472/Nic>,819-71-0739,12/03/08,03/25/10,
JB Svc,Plumbing Contractors,319 Grand Ave,pLAINS,KS,67869-0000,Jack,S,Benjamin,(669) 596-5229,26/01/1969,jbenjamin@jbsvc.com,<5229-0000/Ben>,797-00-7065,08/14/02,12/04/03,
Ironwood Plaza Mini-Storage,Storage-Household & Commercial,3201 E Mulberry St # A,fORT COLLINS,Colorado,80524-8475,Carl,J,Brunswig,(166) 401-5561,24/12/1969,cbrunswig@ironwoodplazamini-storage.com,<5561-8475/Bru>,288-52-2928,04/24/96,10/22/12,
Hen's Tooth Studio,Art Galleries & Dealers,323 N 1st Ave,sANDPOINT,ID,83864-1440,Ward,Y,Tollbon,(226) 725-7835,16/03/1976,wtollbon@hen'stoothstudio.com,<7835-1440/Tol>,17-99-6958,03/13/05,07/03/06,
Reliance Tropical Nursery LLC,Artificial Flowers-Wholesale,325 Hampton Hills CT,dE BARY,FL,32713-4536,Doug,D,Zoph,(161) 901-3260,06/09/1963,dzoph@reliancetropicalnurseryllc.com,<3260-4536/Zop>,101-29-3443,11/22/98,03/13/00,
Bella Nails,Manicuring,3305 E Greenway Rd # 11,pHOENIX,Arizona,85032-4509,Phuc,S,Nguyen,(216) 284-3354,09/12/1963,pnguyen@bellanails.com,<3354-4509/Ngu>,15-36-7000,10/11/07,01/30/09,
Remi Inc,Insulation Contractors-Cold & Heat,3327 9th St,lONG ISLAND CITY,NY,11106-4901,Sime,E,Skugor,(577) 697-4457,16/12/1966,sskugor@remiinc.com,<4457-4901/Sku>,688-12-1610,06/21/01,10/11/02,
Venture Solutions Group LLC,Business service,335 E Saint George Blvd,sT GEORGE,Utah,84770-7102,Bill,,Bickmore,(912) 437-1145,21/11/1957,bbickmore@venturesolutionsgroupllc.com,<1145-7102/Bic>,749-26-2546,03/02/95,08/30/11,
Western Construction Mgmt,Construction Management,335 E Saint George Blvd # 205,sT GEORGE,Utah,84770-7102,Hans,,Kuhni,(694) 900-7513,29/04/1975,hkuhni@westernconstructionmgmt.com,<7513-7102/Kuh>,235-11-5045,01/19/04,05/10/05,
Superior Selected Stone Corp,Marble Contractors,3353 10th St,lONG ISLAND CITY,NY,11106-4907,Nick,,Litis,(449) 832-9681,05/04/1981,nlitis@superiorselectedstonecorp.com,<9681-4907/Lit>,260-26-0532,09/29/97,01/19/99,
Jbv Enterprise,Business service,3400 Craig Dr,mC KINNEY,TX,75070-4549,John,,Vance,(930) 852-6303,05/01/1972,jvance@jbventerprise.com,<6303-4549/Van>,136-27-6773,08/18/06,12/08/07,
Lvv Mobile Repair LLC,Repair services,3411 Linda Dr,aMARILLO,TX,79109-4531,Kurt,,Simpson,(568) 693-2576,22/10/1961,ksimpson@lvvmobilerepairllc.com,<2576-4531/Sim>,569-38-6494,04/28/00,08/18/01,
PG&E,Luaus,343 Sacramento St,aUBURN,CA,95603-5568,Bill,,Williams,(392) 027-0312,11/08/1955,bwilliams@pg&e.com,<0312-5568/Wil>,385-19-7728,03/17/09,03/17/04,
El Salto Pro Bass Adventures,Tourist Attractions,3438 W Tanya Trl,pHOENIX,Arizona,85086-4328,Fred,,Ward,(302) 447-5675,17/04/1970,fward@elsaltoprobassadventures.com,<5675-4328/War>,534-91-1842,11/26/02,11/26/97,
Repair For Less,Automobile Repairing & Service,348 W 10th Ave # 1,mESA,Arizona,85210-3650,Eric,,Deroche,(197) 405-8155,30/01/1977,ederoche@repairforless.com,<8155-3650/Der>,638-88-8670,08/06/96,10/15/06,
San Diego Cab Company,Taxicab service,3485 Kurtz St,sAN DIEGO,CA,92110-4430,Fata,,Arghand,(480) 957-6831,16/06/1973,farghand@sandiegocabcompany.com,<6831-4430/Arg>,489-16-6266,06/25/05,06/25/00,
Stearns & Wheler LLC,Engineering service,35 Corporate Dr,tRUMBULL,CT,06611-6319,Bill,,Brink,(206) 295-2698,21/02/1962,bbrink@stearns&whelerllc.com,<2698-6319/Bri>,553-51-7426,03/06/99,05/14/09,
Family of Christ Church,Churches,3501 E Chandler Blvd,pHOENIX,Arizona,85048-5801,Dave,,Lindemann,(808) 464-5563,26/12/1969,dlindemann@familyofchristchurch.com,<5563-5801/Lin>,842-93-6889,01/23/08,01/23/03,
King's Gift & Beauty Supply,Cosmetics & Perfumes-Retail,3508 Avenue F,bAY CITY,TX,77414-7112,Joey,,Ruy,(294) 399-9458,25/08/1980,jruy@king'sgift&beautysupply.com,<9458-7112/Ruy>,202-57-4506,10/03/01,12/12/11,
Bayshore Inn,Hotels & Motels,3512 US Highway 41 N,pALMETTO,FL,34221-9689,Emil,,Dudko,(491) 546-6894,18/08/1973,edudko@bayshoreinn.com,<6894-9689/Dud>,520-71-1345,06/14/95,08/22/05,
Gung Ho Chinese Restaurant,Luaus,36 Main St,cOLCHESTER,CT,06415-1411,Zhem,,Lin,(681) 323-3241,18/08/1963,zlin@gunghochineserestaurant.com,<3241-1411/Lin>,742-29-0176,05/02/04,05/03/99,
Studio Unicorn,License Services,36 Sanfordtown Rd,rEDDING,CT,06896-2411,Paul,,Avgerinos,(138) 214-0858,07/02/1957,pavgerinos@studiounicorn.com,<0858-2411/Avg>,188-39-1022,01/11/98,03/21/08,
SSOE Inc,Engineering-Job Shops,360 Grove St,bRIDGEWATER,NJ,08807-2849,Mike,,Posner,(223) 702-5560,23/12/1969,mposner@ssoeinc.com,<5560-2849/Pos>,834-75-5570,11/30/06,11/30/01,
Culver's,Restaurants,3631 E Calumet St,aPPLETON,WI,54915-4156,Mike,,Kriegl,(525) 213-9243,23/01/1980,mkriegl@culver's.com,<9243-4156/Kri>,67-76-0269,08/10/00,10/19/10,
Del Taco,Restaurants,3648 E Southern Ave,mESA,Arizona,85206-2504,Brad,,Klien,(806) 484-1745,14/07/1959,bklien@deltaco.com,<1745-2504/Kli>,954-00-1292,06/29/09,06/29/04,
Aero Mist,Misting Systems-Outdoor (Wholesale),3702 E Roeser Rd # 1,pHOENIX,Arizona,85040-9047,Jeff,,Kalpakoff,(896) 867-9915,25/11/1981,jkalpakoff@aeromist.com,<9915-9047/Kal>,575-82-2364,03/10/03,03/10/98,
Gdx Corporation,Auctioneers,3730 Squirewood Dr,cLEMMONS,NC,27012-8550,John,,Dobbins,(980) 677-2361,21/03/1961,jdobbins@gdxcorporation.com,<2361-8550/Dob>,543-75-4926,11/18/96,01/27/07,
Cnh Trucking,Local trucking company,3740 Highland Dr,zILLAH,WA,98953-9386,Herb,,Carlisle,(690) 520-2920,01/10/1962,hcarlisle@cnhtrucking.com,<2920-9386/Car>,197-50-7151,10/07/05,10/07/00,
Panguitch City Police Dept,Police Departments,375 N 700 W,pANGUITCH,Utah,84759-0000,Than,,Cooper,(830) 740-4443,02/12/1966,tcooper@panguitchcitypolicedept.com,<4443-0000/Coo>,191-43-8086,06/18/99,08/26/09,
Kommercial Kleaning,Janitor Service,3752 County Road P,cROSS PLAINS,WI,53528-9180,Kitt,,Kalscheur,(866) 084-4440,29/11/1966,kkalscheur@kommercialkleaning.com,<4440-9180/Kal>,10-33-1697,05/06/08,05/07/03,
Eifeler-Larfer,Metal Finishers (Manufacturers),3800 Commerce Dr,sT CHARLES,IL,60174-5323,Ruth,,Pletz,(389) 544-7539,25/05/1975,rpletz@eifeler-larfer.com,<7539-5323/Ple>,338-90-7005,01/15/02,03/25/12,
Bk Construction,Wallpaper Removal Contractors,3814 W Phelps Rd,pHOENIX,Arizona,85053-2859,Bill,,Kelly,(972) 525-4203,06/04/1966,bkelly@bkconstruction.com,<4203-2859/Kel>,343-01-9981,09/26/95,12/04/05,
Daaman Porcelain Jewelry,Jewelry-Manufacturers,3816 Madison 2035,hUNTSVILLE,AR,72740-8473,Jeff,,Goodwin,(801) 927-2605,20/11/1961,jgoodwin@daamanporcelainjewelry.com,<2605-8473/Goo>,457-72-6565,08/14/04,08/15/99,
US Post Office,U.S. Postal Service,3821 Main St,mINERAL RIDGE, Ohio,44440-9793,Gene,,Gleydura,(440) 772-1144,20/11/1957,ggleydura@uspostoffice.com,<1144-9793/Gle>,497-63-9613,04/25/98,07/03/08,
Precision Marking Co,Machine Shops,3858 W Clarendon Ave,pHOENIX,Arizona,85019-3718,Alex,,Allwine,(592) 972-1139,15/11/1957,aallwine@precisionmarkingco.com,<1139-3718/All>,230-68-0491,03/14/07,03/14/02,
Northern Lakes Tree Svc LLC,"Ornamental shrub and tree services, nec",3875 S County Road O,mAPLE,WI,54854-9350,Greg,,Ukkola,(497) 603-5368,14/06/1969,gukkola@northernlakestreesvcllc.com,<5368-9350/Ukk>,506-21-4529,11/22/00,01/31/11,
B & H Technical Ceramics,Machine Shops,390 Industrial Rd,sAN CARLOS,CA,94070-6285,Gary,,Horn,(557) 061-8544,23/02/1978,ghorn@b&htechnicalceramics.com,<8544-6285/Hor>,756-37-2588,10/11/09,10/11/04,
392 CPW Condominium,Relocation Service,392 Central Park W,nEW YORK,NY,10025-5860,Kent,,Ludwig,(330) 902-8624,14/05/1978,kludwig@392cpwcondominium.com,<8624-5860/Lud>,44-16-1836,06/22/03,06/22/98,
A Permanent Immage,Hair Removing,3936 E Chandler Blvd # 201,pHOENIX,Arizona,85048-0342,Mary,,Fallek,(341) 952-4074,28/11/1965,mfallek@apermanentimmage.com,<4074-0342/Fal>,230-81-6159,03/02/97,05/11/07,
St Helen's Of Washington,Restaurants,395 E Telegraph St,wASHINGTON,Utah,84780-8823,Lane,,Stromberg,(523) 297-6342,13/02/1972,lstromberg@sthelen'sofwashington.com,<6342-8823/Str>,689-23-9357,01/19/06,01/19/01,
Ebp Associates,Wholesale industrial machinery/equipment,395 Lockwood Ln SW,sUPPLY,NC,28462-2120,Earl,,Parker,(498) 195-5627,28/02/1970,eparker@ebpassociates.com,<5627-2120/Par>,91-30-8023,09/30/99,12/08/09,
Hsa Uwc Legal & Public Affairs,Churches,4 W 43rd St,nEW YORK,NY,10036-7408,Eric,,Holt,(205) 983-8747,14/09/1978,eholt@hsauwclegal&publicaffairs.com,<8747-7408/Hol>,657-09-3682,08/18/08,08/19/03,
Jacobs Outpost,Photo Finishing-Custom,40 E Center St,kANAB,Utah,84741-3542,Matt,,Brown,(977) 820-8022,19/09/1976,mbrown@jacobsoutpost.com,<8022-3542/Bro>,35-24-8143,04/29/02,07/07/12,
Nexa,Misc Non-Durable Goods Nec (Wholesale),406 E 8th St,cASPER,WY,82601-3305,Jane,,Ifland,(997) 862-5708,20/05/1970,jifland@nexa.com,<5708-3305/Ifl>,894-50-4101,01/08/96,03/18/06,
US Interior Dept,Federal Government-Conservation Depts,406 S 100 W,hANKSVILLE,Utah,84734-0000,Gary,,Hall,(842) 662-5876,04/11/1970,ghall@usinteriordept.com,<5876-0000/Hal>,466-94-2504,11/26/04,11/27/99,
Thrift Shop,Retailer of used merchandise,41 S 100 E,kANAB,Utah,84741-3541,Mike,,Sinclair,(315) 548-2769,03/05/1962,msinclair@thriftshop.com,<2769-3541/Sin>,344-50-4782,08/07/98,10/15/08,
Home Cookin,Restaurants,411 Main St,sTOCKTON,KS,67669-1929,Niva,,Byfield,(849) 289-5992,28/02/1971,nbyfield@homecookin.com,<5992-1929/Byf>,161-04-4375,06/26/07,06/26/02,
Drywall Assemblies Systems,Dry Wall Contractors,4191 SE Witch Hazel Rd,hILLSBORO,OR,97123-8473,Kirk,,Rakestraw,(238) 546-5718,30/05/1970,krakestraw@drywallassembliessystems.com,<5718-8473/Rak>,124-71-1206,03/06/01,05/15/11,
All Protection Alarm,Burglar Alarm Systems (Wholesale),41951 Big Bear Blvd,bIG BEAR LAKE,CA,92315-0000,Paul,,Bedoe,(975) 634-3531,03/06/1964,pbedoe@allprotectionalarm.com,<3531-0000/Bed>,888-22-1506,01/23/10,01/23/05,
Van Plycon Lines Inc,Over-the-road trucking company,4240 W 190th St Ste C,tORRANCE,CA,90504-5515,Dean,,Pliaconis,(396) 953-1744,13/07/1959,dpliaconis@vanplyconlinesinc.com,<1744-5515/Pli>,115-44-5355,10/04/03,10/04/98,
Baker-Wee,Bakers-Retail,4263 W Thunderbird Rd,pHOENIX,Arizona,85053-5357,Lora,,Wee,(261) 897-4559,28/03/1967,lwee@baker-wee.com,<4559-5357/Wee>,302-12-6499,06/14/97,08/23/07,
Stolper LLC,Boat Part-Used & Rebuilt,4313 SW Port Way,pALM CITY,FL,34990-5584,Igor,,Popov,(341) 205-6483,03/07/1972,ipopov@stolperllc.com,<6483-5584/Pop>,382-89-1493,05/03/06,05/03/01,
Farmers Insurance Group,Insurance,4350 N 19th Ave # 2,pHOENIX,Arizona,85015-4602,Marc,A,Horwitz,(220) 192-1802,09/09/1959,mhorwitz@farmersinsurancegroup.com,<1802-4602/Hor>,360-69-1432,01/12/00,03/22/10,
Horwitz Marc Farmers Insur LLP,"Insurance agents, brokers and service",4350 N 19th Ave Ste 2,pHOENIX,Arizona,85015-4602,Marc,B,Horwitz,(327) 656-9752,15/06/1981,mhorwitz@horwitzmarcfarmersinsurllp.com,<9752-4602/Hor>,980-06-5320,11/30/08,12/01/03,
Cowdin Chicken Farm,Poultry Farms,4397 Smyrna Rd,gRAND CANE,LA,71032-5764,Mike,D,Cowdin,(517) 423-5412,28/07/1969,mcowdin@cowdinchickenfarm.com,<5412-5764/Cow>,460-35-1953,08/11/02,10/19/12,
Window Solutions,Radiator Covers & Enclosures,44 Weant Blvd,cARBONDALE,Colorado,81623-2066,Jeff,W,Hood,(259) 704-0298,28/07/1955,jhood@windowsolutions.com,<0298-2066/Hoo>,672-44-4073,04/21/96,06/30/06,
Phoenix Public Libraries,Library,4402 N 51st Ave,pHOENIX,Arizona,85031-1907,Carl,S,Campbell,(141) 107-5124,13/10/1968,ccampbell@phoenixpubliclibraries.com,<5124-1907/Cam>,890-57-2653,03/10/05,03/10/00,
Andy Pulsipher Architects,Architects,4450 N 12th St # 236,pHOENIX,Arizona,85014-6035,Andy,J,Pulsipher,(457) 078-6283,16/12/1971,apulsipher@andypulsipherarchitects.com,<6283-6035/Pul>,949-74-7954,11/19/98,01/27/09,
Horsefeathers,Gift Shops,45 N Broad St # 102,rIDGEWOOD,NJ,07450-3857,John,Y,Zulauf,(655) 834-7384,21/12/1974,jzulauf@horsefeathers.com,<7384-3857/Zul>,637-80-3875,10/08/07,10/08/02,
Reporting Services,Word Processing Service,453 Dammeron Valley Dr W,dAMMERON VALLEY,Utah,84783-5096,Bill,D,Sharkey,(346) 156-5514,07/11/1969,bsharkey@reportingservices.com,<5514-5096/Sha>,997-18-1091,06/18/01,08/27/11,
Allstate Insurance Co,Insurance,4545 E Shea Blvd # 240,pHOENIX,Arizona,85028-6048,Doug,S,Bell,(540) 972-9728,22/05/1981,dbell@allstateinsuranceco.com,<9728-6048/Bel>,484-84-1396,02/27/95,05/07/05,
Kptm Fox 42 TV,Television station,4625 Farnam St,oMAHA,NE,68132-3222,John,E,Carpenter,(698) 819-4761,16/10/1967,jcarpenter@kptmfox42tv.com,<4761-3222/Car>,3-72-5975,01/16/04,01/16/99,
Beauty Angel,Beauty Salons,4660 El Cajon Blvd,sAN DIEGO,CA,92115-4450,Hung,,Nhieu,(114) 103-7490,06/04/1975,hnhieu@beautyangel.com,<7490-4450/Nhi>,836-81-8534,09/26/97,12/05/07,
Internetdatalink,Data Systems Consultants & Designers,4703 E Adobe Dr,pHOENIX,Arizona,85050-6855,Ralf,,Krieger,(278) 203-7681,14/10/1975,rkrieger@internetdatalink.com,<7681-6855/Kri>,361-37-7917,08/15/06,08/15/01,
